CLUSTER,DR2NAME,DR2_NUM,ID,ID_SOURCE,RA,DEC,BP_RP,GMAG,AGE,AV,PLX,DISTANCE,DM,BP_RP_0,M_G,BINARY_SHORT,BINARY_WIDE,PROT,E_PROT,PROT_REF,TEFF,MASS,BENCH
"Hyades","Gaia DR2 66895941000532736","66895941000532736","211137806","EPIC",58.17860423718000,25.20702256260000,3.25110,16.2615,730.000,0.00000,9.46180,105.688,5.12013,3.25110,11.1414,0.00000,0.00000,14.3802,0.00000,"Douglas et al. (2019)",3042.37,0.159528,0
"Hyades","Gaia DR2 51730755074345088","51730755074345088","210894955","EPIC",58.90484720695000,21.31314265930000,3.80170,15.7064,730.000,0.00000,34.6874,28.8289,2.29914,3.80170,13.4073,0.00000,0.00000,0.725700,0.00000,"Douglas et al. (2019)",1857.97,0.0608826,1
"Hyades","Gaia DR2 49968306654050944","49968306654050944","210704853","EPIC",58.98885223589000,18.43215065467000,2.56980,13.0174,730.000,0.00000,22.8673,43.7306,3.20393,2.56980,9.81347,0.00000,0.00000,23.1244,0.00000,"Douglas et al. (2019)",3414.52,0.342423,1
"Hyades","Gaia DR2 38329666836450304","38329666836450304","210365286","EPIC",59.56042372775000,12.62797069843000,3.21450,15.1112,730.000,0.00000,21.9461,45.5662,3.29321,3.21450,11.8180,0.00000,0.00000,0.868600,0.00000,"Douglas et al. (2019)",3063.13,0.165632,1
"Hyades","Gaia DR2 67270462147226880","67270462147226880","211201094","EPIC",59.79122772727000,26.47582689799000,1.89470,10.8528,730.000,0.00000,27.8849,35.8617,2.77315,1.89470,8.07965,0.00000,0.00000,15.2565,0.00000,"Douglas et al. (2019)",3884.17,0.596512,0
"Hyades","Gaia DR2 53257461329357312","53257461329357312","210941195","EPIC",59.80980537075000,22.04366757806000,2.27180,12.0763,730.000,0.00000,24.6316,40.5983,3.04254,2.27180,9.03376,0.00000,0.00000,20.7309,0.00000,"Douglas et al. (2019)",3612.79,0.492567,1
"Hyades","Gaia DR2 46458115782368384","46458115782368384","210579563","EPIC",59.81318781217000,16.66431058406000,3.00610,14.3443,730.000,0.00000,23.8761,41.8829,3.11018,3.00610,11.2341,0.00000,0.00000,1.27740,0.00000,"Douglas et al. (2019)",3165.72,0.195743,1
"Hyades","Gaia DR2 65502206932420224","65502206932420224","211026112","EPIC",59.86149966105000,23.38525712404000,3.06320,14.6767,730.000,0.00000,22.4082,44.6265,3.24797,3.06320,11.4287,0.00000,0.00000,1.31830,0.00000,"Douglas et al. (2019)",3138.29,0.187725,1
"Hyades","Gaia DR2 50427387118457984","50427387118457984","210769813","EPIC",60.06549937966000,19.41000435096000,3.00590,14.7039,730.000,0.00000,20.8003,48.0762,3.40965,3.00590,11.2942,0.00000,0.00000,1.86260,0.00000,"Douglas et al. (2019)",3165.79,0.195765,1
"Hyades","Gaia DR2 38929141191925760","38929141191925760","210419589","EPIC",60.18786450237000,13.90626330846000,2.98680,13.3300,730.000,0.00000,21.2420,47.0765,3.36402,2.98680,9.96598,0.00000,0.00000,2.66120,0.00000,"Douglas et al. (2019)",3175.10,0.198590,0
"Hyades","Gaia DR2 45404199528067200","45404199528067200","210523892","EPIC",61.04540142286000,15.80601263385000,3.60620,16.3035,730.000,0.00000,21.7788,45.9162,3.30983,3.60620,12.9937,0.00000,0.00000,0.296700,0.00000,"Douglas et al. (2019)",2599.38,0.101958,0
"Hyades","Gaia DR2 50248991357476736","50248991357476736","210742592","EPIC",61.05385500500000,18.99561354891000,3.06810,15.0700,730.000,0.00000,18.7213,53.4151,3.63832,3.06810,11.4317,0.00000,0.00000,0.803700,0.00000,"Douglas et al. (2019)",3135.97,0.187039,1
"Hyades","Gaia DR2 47247938791363200","47247938791363200","210744677","EPIC",61.58645642553000,19.02735170632000,3.10900,14.5238,730.000,0.00000,18.7249,53.4048,3.63790,3.10900,10.8859,0.00000,0.00000,0.481200,0.00000,"Douglas et al. (2019)",3116.44,0.181308,0
"Hyades","Gaia DR2 53725750202606208","53725750202606208","211036776","EPIC",62.16786365223000,23.55713200791000,2.43690,12.5589,730.000,0.00000,21.6991,46.0849,3.31779,2.43690,9.24111,0.00000,0.00000,21.0210,0.00000,"Douglas et al. (2019)",3501.90,0.413424,0
"Hyades","Gaia DR2 52798209065854848","52798209065854848","210963067","EPIC",63.19789539534000,22.39067274360000,3.05450,14.3864,730.000,0.00000,17.9682,55.6539,3.72748,3.05450,10.6589,0.00000,0.00000,1.84430,0.00000,"Douglas et al. (2019)",3142.48,0.188969,0
"Hyades","Gaia DR2 3311804515502788352","3311804515502788352","210490365","EPIC",63.27393456893000,15.24770266272000,2.95490,14.3817,730.000,0.00000,22.2153,45.0140,3.26674,2.95490,11.1150,0.00000,0.00000,1.88840,0.00000,"Douglas et al. (2019)",3190.92,0.205679,1
"Hyades","Gaia DR2 3311810043124387712","3311810043124387712","210497173","EPIC",63.46883478734000,15.36496050976000,2.92180,14.2566,730.000,0.00000,23.6172,42.3420,3.13386,2.92180,11.1227,0.00000,0.00000,1.84890,0.00000,"Douglas et al. (2019)",3207.72,0.214686,0
"Hyades","Gaia DR2 3311426420941869952","3311426420941869952","210432080","EPIC",64.10649895745000,14.17132150049000,2.88820,13.9349,730.000,0.00000,25.1354,39.7845,2.99857,2.88820,10.9363,0.00000,0.00000,1.44860,0.00000,"Douglas et al. (2019)",3225.24,0.223955,0
